Year,Rnd,DT,OvPck,FrRnd,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of,Name-additional
2012,1s,,54,FrRnd,54,Phillies,Y,$940200,*Mitch Gueller (minors),RHP,,,,,,,,,,,,,HS,W. F. West HS (Chehalis WA),-9999
2012,1,,55,FrRnd,55,Padres,Y,$2000000,*Walker Weickel (minors),RHP,,,,,,,,,,,,,HS,Olympia HS (Orlando FL),-9999
2012,1s,,56,FrRnd,56,Cubs,Y,$911700,*Paul Blackburn (minors),RHP,2.5,2,5,0,.000,.000,101,22,31,4.97,1.41,1,HS,Heritage HS (Brentwood CA),blackpa01
2012,1s,,60,FrRnd,60,Blue Jays,Y,$750000,*Tyler Gonzales (minors),RHP,,,,,,,,,,,,,HS,James Madison HS (San Antonio TX),-9999
2011,1,,4,FrRnd,4,Orioles,Y,$4000000,Dylan Bundy (minors),RHP,7.5,8,14,0,.143,.286,190,54,65,4.74,1.30,0,HS,Owasso HS (Owasso OK),bundydy01
2011,1s,,7,FrRnd,7,Diamondbacks,Y,$5000000,*Archie Bradley (minors),RHP,5.6,274,63,0,.095,.189,333,30,29,4.03,1.38,32,HS,Broken Arrow HS (Broken Arrow OK),bradlar01
2011,1,,14,FrRnd,14,Marlins,Y,$2000000,José Fernández (minors),RHP,14.2,71,136,2,.213,.519,76,38,17,2.58,1.05,0,HS,Braulio Alonso HS (Tampa FL),fernajo02
2011,1,,21,FrRnd,21,Blue Jays,N,,Tyler Beede (minors),RHP,-1.2,28,40,0,.100,.263,71,8,16,5.55,1.58,0,HS,Lawrence Academy (Groton MA),beedety01
2011,1,,24,FrRnd,24,Rays via Red Sox,Y,$1600000,*Taylor Guerrieri (minors),RHP,0.2,2,0,0,,,29,0,0,5.5,1.69,0,HS,Spring Valley HS (Columbia SC),guerrta02
2011,1,,25,FrRnd,25,Padres,Y,$2750000,Joe Ross (minors),RHP,5.5,110,157,0,.185,.434,160,31,35,4.28,1.35,0,HS,Bishop O'Dowd HS (Oakland CA),rossjo01
2011,1,,27,FrRnd,27,Reds,Y,$2000000,Robert Stephenson (minors),RHP,1.1,137,36,0,.028,.082,283,19,20,4.59,1.33,3,HS,Alhambra HS (Martinez CA),stephro01
2011,1,,33,FrRnd,33,Rangers via Phillies,Y,$936000,*Kevin Matthews (minors),LHP,,,,,,,,,,,,,HS,Richmond Hill HS (Richmond Hill GA),-9999
2011,1s,,36,FrRnd,36,Red Sox,Y,$1550000,*Henry Owens (minors),LHP,0.1,1,2,0,.000,.000,16,4,6,5.19,1.52,0,HS,Edison HS (Huntington Beach CA),owenshe02
2011,1s,,44,FrRnd,44,Mets,Y,$937500,*Michael Fulmer (minors),RHP,12.5,14,14,0,.000,.000,265,37,50,3.95,1.26,19,HS,Deer Creek HS (Edmond OK),fulmemi01
2011,1s,,46,FrRnd,46,Blue Jays,Y,$500000,*Joe Musgrove (minors),RHP,14.9,104,138,0,.145,.358,206,66,62,3.73,1.17,2,HS,Grossmont HS (La Mesa CA),musgrjo01
2011,1s,,48,FrRnd,48,Padres,Y,$718000,*Michael Kelly (minors),RHP,1.7,1,0,0,,,88,8,6,3.04,1.24,2,HS,West Boca Raton Community HS (Boca Raton FL),kellymi03
2011,1s,,49,FrRnd,49,Giants,Y,$900000,*Kyle Crick (minors),RHP,1.6,162,0,0,,,194,9,11,3.56,1.32,2,HS,Sherman HS (Sherman TX),crickky01
2011,1s,,52,FrRnd,52,Rays,Y,$684000,*Blake Snell (minors),LHP,25.1,31,42,0,.095,.269,222,81,62,3.15,1.22,0,HS,Shorewood HS (Shoreline WA),snellbl01
2011,1s,,55,FrRnd,55,Twins,Y,$1000000,*Hudson Boyd (minors),RHP,,,,,,,,,,,,,HS,Bishop Verot HS (Fort Myers FL),-9999
2011,1s,,57,FrRnd,57,Blue Jays,Y,$1650000,*Kevin Comer (minors),RHP,,,,,,,,,,,,,HS,Seneca HS (Tabernacle NJ),-9999
2010,1,,2,FrRnd,2,Pirates,Y,$6500000,Jameson Taillon (minors),RHP,14.8,78,136,0,.110,.241,224,82,60,3.87,1.19,1,HS,The Woodlands HS (The Woodlands TX),taillja01
2010,1,,9,FrRnd,9,Padres,N,,Karsten Whitson (minors),RHP,,,,,,,,,,,,,HS,Chipley HS (Chipley FL),-9999
2010,1,,14,FrRnd,14,Brewers,N,,Dylan Covey (minors),RHP,-2.6,4,4,0,.000,.000,100,7,32,6.18,1.58,0,HS,Maranatha HS (Pasadena CA),coveydy01
2010,1,,18,FrRnd,18,Angels via Mariners,Y,$2300000,*Kaleb Cowart (minors),RHP,-1.3,171,370,6,.176,.530,,,,,,,HS,Cook HS (Adel GA),cowarka01
2010,1,,19,FrRnd,19,Astros via Tigers,Y,$1305000,*Mike Foltynewicz (minors),RHP,4.4,117,201,0,.070,.158,166,46,54,4.52,1.32,0,HS,Minooka Community HS (Minooka IL),foltymi01
2010,1,,27,FrRnd,27,Phillies,Y,$1160000,Jesse Biddle (minors),LHP,-0.6,77,2,0,.500,1.500,99,6,2,5.07,1.60,1,HS,Germantown Friends HS (Philadelphia PA),biddlje01
2010,1,,28,FrRnd,28,Dodgers,Y,$5250000,Zach Lee (minors),RHP,-0.3,4,5,0,.000,.000,4,1,1,8.53,2.21,0,HS,McKinney HS (McKinney TX),leeza01
2010,1,,29,FrRnd,29,Angels via Red Sox,Y,$1116000,*Cam Bedrosian (minors),RHP,1.7,40,0,0,,,311,17,13,3.81,1.37,9,HS,East Coweta HS (Sharpsburg GA),bedroca01
2010,1,,32,FrRnd,32,Yankees,Y,$954000,Cito Culver (minors),RHP,,,,,,,,,,,,,HS,Irondequoit HS (Rochester NY),-9999
2010,1s,,34,FrRnd,34,Blue Jays,Y,$775000,*Aaron Sanchez (minors),RHP,8.1,17,22,0,.000,.043,174,38,38,4.16,1.38,3,HS,Barstow HS (Barstow CA),sanchaa01
2010,1s,,38,FrRnd,38,Blue Jays,Y,$600000,*Noah Syndergaard (minors),RHP,15.7,113,222,6,.153,.472,164,59,47,3.71,1.20,0,HS,Legacy HS (Mansfield TX),syndeno01
2010,1s,,43,FrRnd,43,Mariners,Y,$800000,*Taijuan Walker (minors),RHP,12.7,61,112,1,.161,.388,251,77,71,4.18,1.29,1,HS,Yucaipa HS (Yucaipa CA),walketa01
2010,1s,,45,FrRnd,45,Rangers,Y,$1545000,*Luke Jackson (minors),RHP,1.8,206,3,0,.000,.250,390,24,16,4.22,1.44,28,HS,Calvary Christian Academy (Fort Lauderdale FL),jackslu01
